datetime,pm25,pm10,no2,so2,co,o3,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,pressure_msl,surface_pressure,cloud_cover,wind_speed_10m,wind_direction_10m,wind_gusts_10m,is_day,sunshine_duration
2025-06-01 07:00:00+00:00,17.8,17.0,0.0148,0.0001,0.4,0.028,18.2,80,14.6,18.8,0.0,0.0,1013.8,1002.6,99,6.0,207,16.6,0,0.0
2025-06-01 08:00:00+00:00,16.2,20.0,0.0152,0.0001,0.3,0.029,17.0,86,14.6,17.1,0.0,0.0,1014.0,1002.7,88,9.7,170,23.4,0,0.0
2025-06-01 09:00:00+00:00,15.8,20.0,0.0123,0.0001,0.4,0.03,16.8,87,14.6,17.9,0.0,0.0,1013.6,1002.3,100,2.3,184,22.7,0,0.0
2025-06-01 10:00:00+00:00,14.0,18.0,0.0073,0.0001,0.3,0.031,17.1,85,14.5,18.0,0.0,0.0,1012.9,1001.6,100,3.7,259,10.1,0,0.0
2025-06-01 11:00:00+00:00,13.5,18.0,0.0088,0.0,0.3,0.028,17.3,83,14.4,18.0,0.0,0.0,1012.0,1000.8,100,5.2,205,13.0,0,0.0
2025-06-01 12:00:00+00:00,11.4,18.0,0.0177,0.0001,0.3,0.019,17.8,81,14.5,18.2,0.0,0.0,1013.5,1002.3,90,7.7,144,20.2,1,0.0
2025-06-01 13:00:00+00:00,16.0,19.0,0.0137,0.0002,0.4,0.025,19.2,74,14.4,19.9,0.0,0.0,1013.9,1002.7,86,4.4,63,17.6,1,2355.61
2025-06-01 14:00:00+00:00,16.3,25.0,0.0137,0.0004,0.4,0.031,21.2,64,14.1,21.6,0.0,0.0,1014.2,1003.1,50,6.0,139,18.7,1,3600.0
2025-06-01 15:00:00+00:00,17.8,30.0,0.0118,0.0004,0.3,0.042,24.4,50,13.4,24.8,0.0,0.0,1014.0,1003.0,100,4.2,137,18.4,1,3600.0
2025-06-01 16:00:00+00:00,15.5,25.0,0.0132,0.0003,0.3,0.051,26.9,42,12.9,27.0,0.0,0.0,1013.2,1002.3,99,8.3,162,25.6,1,3600.0
2025-06-01 17:00:00+00:00,17.3,28.0,0.0121,0.0004,0.3,0.063,28.8,34,11.4,29.1,0.0,0.0,1012.8,1002.0,100,8.3,175,27.0,1,3600.0
2025-06-01 18:00:00+00:00,14.8,25.0,0.0114,0.0004,0.3,0.069,29.2,31,10.5,28.4,0.0,0.0,1012.3,1001.5,100,8.3,181,26.3,1,3600.0
2025-06-01 19:00:00+00:00,17.3,25.0,0.0082,0.0003,0.3,0.073,29.4,32,11.1,28.5,0.0,0.0,1011.9,1001.1,100,10.5,205,29.2,1,3600.0
2025-06-01 20:00:00+00:00,13.3,20.0,0.0065,0.0003,0.3,0.065,28.4,38,12.5,27.4,0.0,0.0,1011.4,1000.6,100,12.4,222,33.1,1,2085.14
2025-06-01 21:00:00+00:00,8.3,19.0,0.0048,0.0002,0.2,0.056,27.8,37,11.8,26.9,0.0,0.0,1010.8,1000.0,97,14.1,224,36.7,1,3600.0
2025-06-01 22:00:00+00:00,9.7,15.0,0.0062,0.0003,0.2,0.057,25.8,44,12.6,24.7,0.0,0.0,1010.7,999.8,100,14.8,226,38.5,1,3600.0
2025-06-01 23:00:00+00:00,8.7,19.0,0.0052,0.0002,0.2,0.058,23.3,54,13.5,22.7,0.0,0.0,1011.1,1000.1,55,12.0,221,38.5,1,3600.0
2025-06-02 00:00:00+00:00,10.0,20.0,0.0037,0.0001,0.2,0.055,26.2,38,10.8,24.6,0.0,0.0,1010.2,999.3,9,12.4,228,31.0,1,3600.0
2025-06-02 01:00:00+00:00,8.3,18.0,0.0036,0.0001,0.2,0.054,22.1,60,13.9,21.6,0.0,0.0,1011.0,1000.0,9,11.7,226,33.1,1,3600.0
2025-06-02 02:00:00+00:00,9.7,13.0,0.0045,0.0001,0.2,0.046,19.6,73,14.6,19.7,0.0,0.0,1011.6,1000.5,26,9.3,216,29.2,0,1724.85
2025-06-02 03:00:00+00:00,15.5,21.0,0.0047,0.0001,0.2,0.041,18.1,79,14.4,18.1,0.0,0.0,1012.3,1001.1,22,9.3,208,23.4,0,0.0
2025-06-02 04:00:00+00:00,9.9,12.0,0.0047,0.0,0.2,0.036,17.2,82,14.1,17.6,0.0,0.0,1013.1,1001.8,16,6.3,195,23.0,0,0.0
2025-06-02 05:00:00+00:00,6.1,10.0,0.0064,0.0,0.2,0.034,16.9,82,13.9,17.5,0.0,0.0,1013.3,1002.0,5,4.5,178,16.6,0,0.0
2025-06-02 06:00:00+00:00,10.2,11.0,0.0076,0.0001,0.2,0.031,16.8,81,13.5,17.3,0.0,0.0,1013.4,1002.1,1,4.0,177,13.3,0,0.0
