datetime,pm25,pm10,no2,so2,co,o3
2025-07-20 00:00:00+00:00,7.3,20.0,0.0042,0.0,0.2,0.043
2025-07-20 01:00:00+00:00,7.4,25.0,0.004,0.0,0.2,0.041
2025-07-20 02:00:00+00:00,6.3,17.0,0.0039,0.0,0.2,0.037
2025-07-20 03:00:00+00:00,6.6,16.0,0.0035,0.0,0.2,0.034
2025-07-20 04:00:00+00:00,7.6,20.0,0.0036,0.0,0.2,0.031
2025-07-20 05:00:00+00:00,9.8,16.0,0.0054,0.0,0.2,0.029
2025-07-20 06:00:00+00:00,11.6,23.0,0.0062,0.0,0.2,0.028
2025-07-20 07:00:00+00:00,14.7,21.0,0.0069,0.0,0.2,0.028
2025-07-20 08:00:00+00:00,10.9,21.0,0.0063,0.0,0.2,0.027
2025-07-20 09:00:00+00:00,13.0,23.0,0.0065,0.0,0.2,0.028
2025-07-20 10:00:00+00:00,15.3,19.0,0.0058,0.0,,0.028
2025-07-20 11:00:00+00:00,4.7,16.0,0.0037,0.0,0.2,0.029
2025-07-20 12:00:00+00:00,5.5,15.0,0.0048,0.0,0.2,0.027
2025-07-20 13:00:00+00:00,4.6,14.0,0.0051,0.0,0.2,0.027
2025-07-20 14:00:00+00:00,7.4,14.0,0.005,0.0,0.2,0.027
2025-07-20 15:00:00+00:00,6.4,13.0,0.0043,0.0,0.2,0.028
2025-07-20 16:00:00+00:00,7.0,14.0,0.0041,0.0,0.2,0.028
2025-07-20 17:00:00+00:00,6.8,16.0,0.0039,0.0,0.2,0.031
2025-07-20 18:00:00+00:00,12.5,20.0,0.0053,0.0,0.2,0.033
2025-07-20 19:00:00+00:00,10.0,26.0,0.005,0.0,0.2,0.042
2025-07-20 20:00:00+00:00,8.0,23.0,0.0057,0.0001,0.2,0.045
2025-07-20 21:00:00+00:00,7.8,26.0,0.0079,0.0003,0.2,0.044
2025-07-20 22:00:00+00:00,8.3,28.0,0.0053,0.0002,,0.046
2025-07-20 23:00:00+00:00,9.7,21.0,0.0031,0.0,0.2,0.045
2025-07-21 00:00:00+00:00,6.9,22.0,0.0044,0.0001,0.2,0.042
2025-07-21 01:00:00+00:00,6.9,14.0,0.0042,0.0001,0.2,0.04
2025-07-21 02:00:00+00:00,4.7,12.0,0.0045,0.0,0.2,0.036
2025-07-21 03:00:00+00:00,5.9,16.0,0.0046,0.0,0.2,0.033
2025-07-21 04:00:00+00:00,6.7,18.0,0.0051,0.0,0.2,0.032
2025-07-21 05:00:00+00:00,9.3,17.0,0.006,0.0,0.2,0.031
2025-07-21 06:00:00+00:00,10.4,19.0,0.0062,0.0001,0.2,0.03
2025-07-21 07:00:00+00:00,10.7,18.0,0.0059,0.0,0.2,0.03
2025-07-21 08:00:00+00:00,7.5,23.0,0.0058,0.0,0.2,0.028
2025-07-21 09:00:00+00:00,6.6,23.0,0.006,0.0,0.2,0.028
2025-07-21 10:00:00+00:00,6.6,16.0,0.0061,0.0,,0.028
2025-07-21 11:00:00+00:00,9.9,16.0,0.0054,0.0,0.2,0.029
2025-07-21 12:00:00+00:00,8.3,15.0,0.0079,0.0,0.2,0.026
2025-07-21 13:00:00+00:00,7.8,17.0,0.0082,0.0,0.2,0.026
2025-07-21 14:00:00+00:00,8.7,21.0,0.0125,0.0,0.2,0.023
2025-07-21 15:00:00+00:00,6.5,14.0,0.0106,0.0,0.2,0.024
2025-07-21 16:00:00+00:00,7.0,12.0,0.0091,0.0,0.2,0.026
