datetime,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,pressure_msl,surface_pressure,cloud_cover,wind_speed_10m,wind_direction_10m,wind_gusts_10m,is_day,sunshine_duration
2025-06-01 00:00:00,18.2,80,14.6,18.8,0.0,0.0,1013.8,1002.6,99,6.0,207,16.6,0,0.0
2025-06-01 01:00:00,17.0,86,14.6,17.1,0.0,0.0,1014.0,1002.7,88,9.7,170,23.4,0,0.0
2025-06-01 02:00:00,16.8,87,14.6,17.9,0.0,0.0,1013.6,1002.3,100,2.3,184,22.7,0,0.0
2025-06-01 03:00:00,17.1,85,14.5,18.0,0.0,0.0,1012.9,1001.6,100,3.7,259,10.1,0,0.0
2025-06-01 04:00:00,17.3,83,14.4,18.0,0.0,0.0,1012.0,1000.8,100,5.2,205,13.0,0,0.0
2025-06-01 05:00:00,17.8,81,14.5,18.2,0.0,0.0,1013.5,1002.3,90,7.7,144,20.2,1,0.0
2025-06-01 06:00:00,19.2,74,14.4,19.9,0.0,0.0,1013.9,1002.7,86,4.4,63,17.6,1,2355.61
2025-06-01 07:00:00,21.2,64,14.1,21.6,0.0,0.0,1014.2,1003.1,50,6.0,139,18.7,1,3600.0
2025-06-01 08:00:00,24.4,50,13.4,24.8,0.0,0.0,1014.0,1003.0,100,4.2,137,18.4,1,3600.0
2025-06-01 09:00:00,26.9,42,12.9,27.0,0.0,0.0,1013.2,1002.3,99,8.3,162,25.6,1,3600.0
2025-06-01 10:00:00,28.8,34,11.4,29.1,0.0,0.0,1012.8,1002.0,100,8.3,175,27.0,1,3600.0
2025-06-01 11:00:00,29.2,31,10.5,28.4,0.0,0.0,1012.3,1001.5,100,8.3,181,26.3,1,3600.0
2025-06-01 12:00:00,29.4,32,11.1,28.5,0.0,0.0,1011.9,1001.1,100,10.5,205,29.2,1,3600.0
2025-06-01 13:00:00,28.4,38,12.5,27.4,0.0,0.0,1011.4,1000.6,100,12.4,222,33.1,1,2085.14
2025-06-01 14:00:00,27.8,37,11.8,26.9,0.0,0.0,1010.8,1000.0,97,14.1,224,36.7,1,3600.0
2025-06-01 15:00:00,25.8,44,12.6,24.7,0.0,0.0,1010.7,999.8,100,14.8,226,38.5,1,3600.0
2025-06-01 16:00:00,23.3,54,13.5,22.7,0.0,0.0,1011.1,1000.1,55,12.0,221,38.5,1,3600.0
2025-06-01 17:00:00,26.2,38,10.8,24.6,0.0,0.0,1010.2,999.3,9,12.4,228,31.0,1,3600.0
2025-06-01 18:00:00,22.1,60,13.9,21.6,0.0,0.0,1011.0,1000.0,9,11.7,226,33.1,1,3600.0
2025-06-01 19:00:00,19.6,73,14.6,19.7,0.0,0.0,1011.6,1000.5,26,9.3,216,29.2,0,1724.85
2025-06-01 20:00:00,18.1,79,14.4,18.1,0.0,0.0,1012.3,1001.1,22,9.3,208,23.4,0,0.0
2025-06-01 21:00:00,17.2,82,14.1,17.6,0.0,0.0,1013.1,1001.8,16,6.3,195,23.0,0,0.0
2025-06-01 22:00:00,16.9,82,13.9,17.5,0.0,0.0,1013.3,1002.0,5,4.5,178,16.6,0,0.0
2025-06-01 23:00:00,16.8,81,13.5,17.3,0.0,0.0,1013.4,1002.1,1,4.0,177,13.3,0,0.0
2025-06-02 00:00:00,16.8,79,13.1,17.3,0.0,0.0,1013.4,1002.1,0,3.3,189,10.8,0,0.0
2025-06-02 01:00:00,16.6,80,13.1,17.0,0.0,0.0,1013.3,1002.0,0,3.4,205,9.0,0,0.0
2025-06-02 02:00:00,16.3,82,13.2,16.9,0.0,0.0,1013.4,1002.1,0,3.1,183,8.6,0,0.0
2025-06-02 03:00:00,16.0,84,13.4,16.6,0.0,0.0,1013.4,1002.1,0,3.1,170,8.3,0,0.0
2025-06-02 04:00:00,15.7,87,13.5,16.4,0.0,0.0,1013.6,1002.3,3,2.2,166,7.6,0,0.0
2025-06-02 05:00:00,15.6,88,13.6,16.3,0.0,0.0,1014.1,1002.8,4,3.2,153,8.3,1,0.0
2025-06-02 06:00:00,16.5,83,13.6,17.0,0.0,0.0,1014.5,1003.2,11,3.9,152,12.2,1,3055.33
2025-06-02 07:00:00,18.1,74,13.4,18.3,0.0,0.0,1014.7,1003.5,12,5.5,157,18.0,1,3600.0
2025-06-02 08:00:00,20.3,64,13.2,20.4,0.0,0.0,1015.0,1003.8,8,5.5,169,20.2,1,3600.0
2025-06-02 09:00:00,22.6,55,13.1,23.2,0.0,0.0,1014.8,1003.7,4,6.1,180,22.0,1,3600.0
2025-06-02 10:00:00,24.7,48,13.1,26.1,0.0,0.0,1014.8,1003.8,2,7.8,184,25.9,1,3600.0
2025-06-02 11:00:00,25.9,47,13.7,27.7,0.0,0.0,1014.6,1003.7,1,10.0,194,30.2,1,3600.0
2025-06-02 12:00:00,25.9,48,14.1,27.6,0.0,0.0,1014.5,1003.6,0,12.3,205,34.9,1,3600.0
2025-06-02 13:00:00,25.3,50,14.0,26.8,0.0,0.0,1014.4,1003.4,1,12.9,215,36.7,1,3600.0
2025-06-02 14:00:00,24.7,50,13.7,26.0,0.0,0.0,1013.9,1002.9,1,11.7,217,36.7,1,3600.0
2025-06-02 15:00:00,24.2,51,13.3,24.7,0.0,0.0,1013.4,1002.4,0,11.4,219,34.2,1,3600.0
2025-06-02 16:00:00,23.0,54,13.1,22.5,0.0,0.0,1013.2,1002.2,0,11.6,224,33.5,1,3600.0
2025-06-02 17:00:00,21.7,58,13.0,21.1,0.0,0.0,1013.4,1002.3,0,10.6,230,32.4,1,3600.0
2025-06-02 18:00:00,20.3,62,12.8,19.8,0.0,0.0,1013.5,1002.4,0,9.1,221,29.2,1,3600.0
2025-06-02 19:00:00,18.7,69,12.8,18.4,0.0,0.0,1014.0,1002.8,0,8.0,211,24.5,1,1865.62
2025-06-02 20:00:00,17.8,73,13.0,17.7,0.0,0.0,1014.6,1003.4,1,7.0,212,20.9,0,0.0
2025-06-02 21:00:00,17.2,77,13.1,17.3,0.0,0.0,1015.4,1004.1,1,6.3,231,18.4,0,0.0
2025-06-02 22:00:00,16.9,79,13.2,17.3,0.0,0.0,1015.8,1004.5,2,4.5,223,15.8,0,0.0
2025-06-02 23:00:00,16.7,80,13.3,17.0,0.0,0.0,1016.1,1004.8,10,4.5,217,12.2,0,0.0
2025-06-03 00:00:00,16.3,82,13.2,16.6,0.0,0.0,1016.0,1004.7,21,4.7,208,12.2,0,0.0
2025-06-03 01:00:00,16.0,83,13.2,16.3,0.0,0.0,1015.5,1004.2,48,4.2,198,11.9,0,0.0
2025-06-03 02:00:00,16.0,83,13.1,16.4,0.0,0.0,1015.5,1004.2,75,3.8,221,10.4,0,0.0
2025-06-03 03:00:00,16.1,82,13.0,16.6,0.0,0.0,1015.2,1003.9,100,3.4,264,11.9,0,0.0
2025-06-03 04:00:00,16.1,82,13.0,16.3,0.0,0.0,1015.1,1003.8,100,4.7,263,12.6,0,0.0
2025-06-03 05:00:00,15.7,83,12.7,15.7,0.0,0.0,1015.0,1003.7,89,5.2,286,15.1,1,0.0
2025-06-03 06:00:00,16.0,81,12.8,16.2,0.0,0.0,1014.9,1003.6,77,4.7,238,13.7,1,0.0
2025-06-03 07:00:00,17.5,74,12.8,17.7,0.0,0.0,1015.1,1003.8,83,4.8,241,17.3,1,3600.0
2025-06-03 08:00:00,19.3,65,12.7,19.4,0.0,0.0,1015.0,1003.8,84,5.0,249,19.1,1,3600.0
2025-06-03 09:00:00,21.5,57,12.5,21.6,0.0,0.0,1014.9,1003.8,80,4.4,235,20.9,1,3600.0
2025-06-03 10:00:00,23.4,50,12.5,24.9,0.0,0.0,1014.8,1003.8,98,3.1,216,20.9,1,3600.0
2025-06-03 11:00:00,22.7,58,14.1,22.8,2.2,2.2,1014.5,1003.4,100,8.5,209,28.8,1,2910.98
2025-06-03 12:00:00,22.3,64,15.3,22.9,1.4,1.4,1014.0,1002.9,100,7.7,231,28.1,1,2235.18
2025-06-03 13:00:00,21.0,72,15.9,21.2,0.8,0.8,1013.0,1001.9,99,12.1,255,34.2,1,1801.31
2025-06-03 14:00:00,20.0,75,15.4,20.1,0.1,0.1,1012.9,1001.8,86,11.5,238,33.1,1,3600.0
2025-06-03 15:00:00,20.7,70,14.9,20.9,0.0,0.0,1011.9,1000.8,44,11.1,241,33.5,1,3600.0
2025-06-03 16:00:00,20.8,69,14.8,21.0,0.0,0.0,1011.5,1000.4,56,8.9,251,30.6,1,3600.0
2025-06-03 17:00:00,18.7,78,14.7,19.6,0.1,0.1,1011.9,1000.7,46,4.5,254,32.4,1,3600.0
2025-06-03 18:00:00,18.5,78,14.6,18.7,0.0,0.0,1011.5,1000.3,5,8.5,216,22.3,1,3600.0
2025-06-03 19:00:00,17.0,83,14.1,17.3,0.0,0.0,1012.6,1001.3,26,6.9,194,22.7,1,1745.67
2025-06-03 20:00:00,16.6,85,14.0,17.1,0.0,0.0,1012.4,1001.1,0,5.4,256,15.5,0,0.0
2025-06-03 21:00:00,15.9,88,13.9,16.2,0.0,0.0,1012.5,1001.2,0,6.1,275,16.9,0,0.0
2025-06-03 22:00:00,15.5,90,14.0,16.1,0.0,0.0,1012.9,1001.6,1,4.9,174,13.7,0,0.0
2025-06-03 23:00:00,15.0,94,14.0,15.5,0.0,0.0,1013.1,1001.8,33,5.5,148,13.7,0,0.0
2025-06-04 00:00:00,14.8,94,13.8,15.1,0.0,0.0,1013.0,1001.7,90,5.9,142,14.0,0,0.0
2025-06-04 01:00:00,14.8,93,13.7,15.2,0.0,0.0,1013.1,1001.8,60,5.0,145,14.0,0,0.0
2025-06-04 02:00:00,14.8,93,13.6,15.5,0.0,0.0,1012.9,1001.6,72,3.0,123,11.5,0,0.0
2025-06-04 03:00:00,14.7,93,13.5,15.6,0.0,0.0,1012.7,1001.4,82,1.3,98,7.2,0,0.0
2025-06-04 04:00:00,14.6,93,13.5,15.7,0.0,0.0,1012.6,1001.3,100,0.2,90,4.7,0,0.0
2025-06-04 05:00:00,15.0,90,13.5,15.6,0.0,0.0,1012.8,1001.5,100,3.6,123,9.7,1,0.0
2025-06-04 06:00:00,15.6,88,13.6,16.2,0.0,0.0,1013.1,1001.8,100,3.6,143,10.8,1,87.86
2025-06-04 07:00:00,16.1,85,13.6,16.7,0.0,0.0,1013.1,1001.8,100,3.3,171,11.9,1,0.0
